dcterms:identifier,ac:associatedSpecimenReference,coreid,ac:providerManagedID,ac:derivedFrom,ac:providerLiteral,ac:provider,dc:type,dcterms:type,ac:subtypeLiteral,ac:subtype,ac:accessURI,dc:format,ac:subjectPart,ac:subjectOrientation,ac:caption,Iptc4xmpExt:LocationCreated,ac:captureDevice,dc:creator,ms:scanningTechnician,ac:fundingAttribution,exif:PixelXDimension,exif:PixelYDimension,exif:Xresolution,exif:Yresolution,exif:ResolutionUnit,dicom:SpacingBetweenSlices,dc:rights,dcterms:rights,xmpRights:Owner,xmpRights:UsageTerms,xmpRights:WebStatement,ac:licenseLogoURL,photoshop:Credit
 ark:/87602/m4/M12442,e7e9ad23-fff2-439f-af4c-3f7eabadec29,3F571AB5-7BA8-4640-8961-AF68C98A0B56,12442,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/12442,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,300.19771021194555,300.19771021194555,3,0.03331138,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/2/4/3789_ms_media_files_media_12442_large.jpg,e7e9ad23-fff2-439f-af4c-3f7eabadec29,3F571AB5-7BA8-4640-8961-AF68C98A0B56,12442p, ark:/87602/m4/M12442,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/2/4/3789_ms_media_files_media_12442_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,CT scan of body,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,290.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M12443,e7e9ad23-fff2-439f-af4c-3f7eabadec29,3F571AB5-7BA8-4640-8961-AF68C98A0B56,12443,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/12443,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,300.19771021194555,300.19771021194555,3,0.03331138,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/2/4/44768_ms_media_files_media_12443_large.jpg,e7e9ad23-fff2-439f-af4c-3f7eabadec29,3F571AB5-7BA8-4640-8961-AF68C98A0B56,12443p, ark:/87602/m4/M12443,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/2/4/44768_ms_media_files_media_12443_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,CT scan of body,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,290.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M12445,e7e9ad23-fff2-439f-af4c-3f7eabadec29,3F571AB5-7BA8-4640-8961-AF68C98A0B56,12445,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/12445,image/tiff,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,1000,408,300.19771021194555,300.19771021194555,3,0.03331138,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/2/4/79559_ms_media_files_media_12445_large.jpg,e7e9ad23-fff2-439f-af4c-3f7eabadec29,3F571AB5-7BA8-4640-8961-AF68C98A0B56,12445p, ark:/87602/m4/M12445,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/2/4/79559_ms_media_files_media_12445_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,Tiff-stack,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,286.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M12670,184e06ed-cf92-4b8d-b342-051d92ad4a54,B2C8D15B-E5F8-4279-B412-98BE129D3F9A,12670,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/12670,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,230.4924979301774,230.4924979301774,3,0.04338536,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/2/6/16012_ms_media_files_media_12670_large.jpg,184e06ed-cf92-4b8d-b342-051d92ad4a54,B2C8D15B-E5F8-4279-B412-98BE129D3F9A,12670p, ark:/87602/m4/M12670,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/2/6/16012_ms_media_files_media_12670_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,CT scan of body,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,292.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M12671,184e06ed-cf92-4b8d-b342-051d92ad4a54,B2C8D15B-E5F8-4279-B412-98BE129D3F9A,12671,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/12671,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,230.4924979301774,230.4924979301774,3,0.04338536,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/2/6/16884_ms_media_files_media_12671_large.jpg,184e06ed-cf92-4b8d-b342-051d92ad4a54,B2C8D15B-E5F8-4279-B412-98BE129D3F9A,12671p, ark:/87602/m4/M12671,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/2/6/16884_ms_media_files_media_12671_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,CT scan of Skull,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,292.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M24583,184e06ed-cf92-4b8d-b342-051d92ad4a54,B2C8D15B-E5F8-4279-B412-98BE129D3F9A,24583,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/24583,image/tiff,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,1225,452,230.4924979301774,230.4924979301774,3,0.04338536,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/2/4/5/95356_ms_media_files_media_24583_large.jpg,184e06ed-cf92-4b8d-b342-051d92ad4a54,B2C8D15B-E5F8-4279-B412-98BE129D3F9A,24583p, ark:/87602/m4/M24583,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/2/4/5/95356_ms_media_files_media_24583_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,Tiff Stack,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,258.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M12676,f5b09484-618d-4561-926f-34e010458b6a,A28E4B42-A526-4FE1-AF25-866F60B84A03,12676,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/12676,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,615.0704563207715,615.0704563207715,3,0.01625830,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/2/6/11154_ms_media_files_media_12676_large.jpg,f5b09484-618d-4561-926f-34e010458b6a,A28E4B42-A526-4FE1-AF25-866F60B84A03,12676p, ark:/87602/m4/M12676,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/2/6/11154_ms_media_files_media_12676_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,CT scan of body,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,295.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M12677,f5b09484-618d-4561-926f-34e010458b6a,A28E4B42-A526-4FE1-AF25-866F60B84A03,12677,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/12677,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,615.0704563207715,615.0704563207715,3,0.01625830,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/2/6/58739_ms_media_files_media_12677_large.jpg,f5b09484-618d-4561-926f-34e010458b6a,A28E4B42-A526-4FE1-AF25-866F60B84A03,12677p, ark:/87602/m4/M12677,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/2/6/58739_ms_media_files_media_12677_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,CT scan of body,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,295.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M12694,c297554d-958f-4479-8965-3430ff7942d5,EBFE54DD-B754-40DB-ABF3-79BB5AD5B974,12694,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/12694,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,261.4635421773376,261.4635421773376,3,0.03824625,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/2/6/13421_ms_media_files_media_12694_large.jpg,c297554d-958f-4479-8965-3430ff7942d5,EBFE54DD-B754-40DB-ABF3-79BB5AD5B974,12694p, ark:/87602/m4/M12694,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/2/6/13421_ms_media_files_media_12694_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,CT scan of body,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,295.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M12695,c297554d-958f-4479-8965-3430ff7942d5,EBFE54DD-B754-40DB-ABF3-79BB5AD5B974,12695,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/12695,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,261.4635421773376,261.4635421773376,3,0.03824625,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/2/6/13434_ms_media_files_media_12695_large.jpg,c297554d-958f-4479-8965-3430ff7942d5,EBFE54DD-B754-40DB-ABF3-79BB5AD5B974,12695p, ark:/87602/m4/M12695,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/2/6/13434_ms_media_files_media_12695_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,CT scan of body,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,295.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M13145,415b7c16-8a13-4624-a619-38734d7df9ab,4A5E2669-9ABD-43D7-92D9-8991222F00E1,13145,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/13145,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,326.1628602917266,326.1628602917266,3,0.03065953,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/3/1/99145_ms_media_files_media_13145_large.jpg,415b7c16-8a13-4624-a619-38734d7df9ab,4A5E2669-9ABD-43D7-92D9-8991222F00E1,13145p, ark:/87602/m4/M13145,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/3/1/99145_ms_media_files_media_13145_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,CT scan of body,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,292.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M13146,415b7c16-8a13-4624-a619-38734d7df9ab,4A5E2669-9ABD-43D7-92D9-8991222F00E1,13146,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/13146,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,326.1628602917266,326.1628602917266,3,0.03065953,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/1/3/1/83967_ms_media_files_media_13146_large.jpg,415b7c16-8a13-4624-a619-38734d7df9ab,4A5E2669-9ABD-43D7-92D9-8991222F00E1,13146p, ark:/87602/m4/M13146,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/1/3/1/83967_ms_media_files_media_13146_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,CT scan of body,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,292.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M20329,415b7c16-8a13-4624-a619-38734d7df9ab,4A5E2669-9ABD-43D7-92D9-8991222F00E1,20329,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/20329,image/tiff,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,1034,536,326.1628602917266,326.1628602917266,3,0.03065953,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
https://www.morphosource.org/media/morphosource/images/2/0/3/58856_ms_media_files_media_20329_large.jpg,415b7c16-8a13-4624-a619-38734d7df9ab,4A5E2669-9ABD-43D7-92D9-8991222F00E1,20329p, ark:/87602/m4/M20329,MorphoSource,https://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,https://www.morphosource.org/media/morphosource/images/2/0/3/58856_ms_media_files_media_20329_large.jpg,image/jpeg,CT scan of skeleton and skull,CT scan of skeleton and skull,Tiff-stack,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,700.0,363.0,,,,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
 ark:/87602/m4/M13149,33e845b5-06d7-4a45-bf07-f8cba8accf57,6251EDB3-F8DD-431B-85BE-DF73CDCBF951,13149,ark:/87602/m4/MNone,MorphoSource,https://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,https://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/13149,application/stl,CT scan of skeleton and skull,CT scan of skeleton and skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,,,235.24668084576825,235.24668084576825,3,0.04250857,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc-sa/3.0/,"Florida Museum of Natural History, University of Florida",Attribution- CC BY-NC-SA - reuse here and applied to future uses but noncommercial,https://creativecommons.org/licenses/by-nc-sa/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc-sa.png,
